Character_ID,Character_Name,Species,House,Parents,Siblings,Spouse,Children,Status,Weapon of Choice,Place of Death,Notable Kills,Lore,ImageURL,House_URL
CH001,Accident,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"A nameless soul, perhaps a victim of misfortune or circumstance, whose tale remains untold amidst the chronicles of Westeros.",,
CH002,Aemon Targaryen,Human,Night's Watch,King Maekar I Targaryen and Dyanna Dayne,King Aegon V Targaryen,None (took a vow of celibacy as a Maester),None,Dead,Not Available,Castle Black,Not Available,"Born Aemon of House Targaryen, he cast off crown and claim to don the black of the Night’s Watch. A scholar, a healer, and a dragon in exile, Maester Aemon served at Castle Black until his bones bent with age and his eyes faded to blindness.
He counseled kings and crows alike, his words laced with wisdom born of sorrow. In fire and blood, he saw prophecy—visions of his kin's fall, and of the prince that was promised.
When the cold wind howled beyond the Wall, he remained a beacon in the dark, whispering truths forgotten even by fire itself. He died far from home, a dragon who chose duty over power, and whose watch ended only in death.",,
CH003,Alliser Thorne,Human,House Thorne,Not Available,Not Available,Not Available,None,Dead,Not Available,Castle Black,Not Available,"Hard as the frost of the Wall and bitter as the wind atop it, Ser Alliser Thorne bled black long before he donned the cloak. Once a knight of King’s Landing, he was cast to the Wall for backing the losing side of Robert’s Rebellion.
He served as master-at-arms at Castle Black, where he forged young boys into hardened men with cruelty sharp as iron. His hatred for Jon Snow burned like a dying ember—dim but persistent.
When the Lord Commander broke oaths and welcomed wildlings, it was Thorne who called him traitor and led the blade. Yet the realm he claimed to protect crumbled under the very darkness Jon sought to stop. Thorne died by the rope—bitter, defiant, and unrepentant.",,
CH004,Alton Lannister,Human,House Lannister,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Robb Stark's camp,Not Available,"A young noble of House Lannister, eager to prove his worth. Captured during the war, his fate intertwines tragically with that of Jaime Lannister in the Stark camp.",,
CH005,Amory Lorch,Human,House Lorch,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Harrenhal,Rhaenys Targaryen,"A brute clad in steel, Ser Amory Lorch served House Lannister as a sword, not a man. His reputation dripped with blood, from the sack of Elia Martell’s children to countless nameless dead strewn across the Riverlands.
He was neither knight nor monster—only a cruel instrument, loyal to coin and command.
At Harrenhal, he hunted prisoners and presided over the tortures that turned the blackened fortress into a place of dread. But in the end, he was undone not by battle, but by a shadow—Arya’s whispered vengeance, passed through the lips of death itself.",,
CH006,Areo Hotah,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Dorne,Arys Oakheart,"The stoic and formidable captain of Prince Doran Martell's guard in Dorne. Wielding a longaxe, he is ever-vigilant, embodying unwavering loyalty and silent strength.",,
CH007,Arthur Dayne,Human,House Dayne,Beric Dayne,Ashara Dayne and Allyria Dayne,"None (no known spouse, died young)",None,Dead,Dawn,Tower of Joy,Not Available,"They called him the Sword of the Morning, and he bore the blade to match—a greatsword named Dawn, pale as moonlight, forged from a star.
Ser Arthur Dayne of House Dayne was a legend clad in silver plate, the most honorable knight of his age and the deadliest by far.
At the Tower of Joy, he stood with only two others against six—and nearly won. He fell to young Ned Stark and the northern blades, though not without the weight of treachery at his back.
Even in death, tales of Dayne’s prowess echoed through courts and camps alike. He was the sword Westeros never again would wield—shining, gallant, and gone too soon.",,
CH008,Arya Stark,Human,House Stark,"Eddard Stark, Catelyn Stark","Robb, Sansa, Bran, Rickon",None (never married),None,Alive,"Needle, Valyrian steel dagger",King's Landing,"Meryn Trant, Walder Frey, Night King","Arya of House Stark, the wolf girl, the water dancer, the one who whispered names into the dark. Born to nobility, she cast aside silks and stitches for steel.
She wandered through war, through lands of dust and death, forging herself in the fires of loss. From the Hound to the House of Black and White, every step stripped her down and built her anew.
She became No One, but remembered who she was. Vengeance sang in her blood, and death bowed to her will.
When the Long Night came, it was Arya—child of Winterfell—who struck the blow that legends would never forget. But she did not stay to be remembered. She sailed west, toward the edge of maps and the unknown, where only wolves dare tread.",,
CH009,Astapor slaver,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Astapor,Not Available,"A representative of the cruel masters of Astapor, known for their inhumane training of the Unsullied. Their reign ends with Daenerys Targaryen's fiery justice.",,
CH010,Astapor soldier,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Astapor,Not Available,"A member of the military force enforcing the slavers' will in Astapor, ultimately overthrown during Daenerys's liberation of the city.​",,
