Death No.,Season,Episode,Victim_Allegiance,Character_ID,Character_Name,Victim,Method,Location,Victim URL,Location_ID
1,1,1,Night's Watch,CH276,White Walker,Waymar Royce,Ice sword,Beyond the Wall,,
2,1,1,Night's Watch,CH276,White Walker,Gared,Ice sword,Beyond the Wall,,
3,1,1,Night's Watch,CH161,Ned Stark,Will,Sword,Winterfell,,
4,1,1,None,CH047,Direwolf,Stag,Teeth,Winterfell,,
5,1,1,None,CH228,Stag,Direwolf,Antler,Winterfell,,
6,1,1,House Arryn,CH134,Lysa Arryn,Jon Arryn,Poison,King's Landing,,
7,1,1,Dothraki,CH055,Dothraki man,Dothraki man,Arakh,Pentos,,
8,1,2,None,CH236,Summer,Catspaw assassin,Teeth,Winterfell,,
9,1,2,Smallfolk,CH215,"Sandor ""The Hound"" Clegane",Mycah,Sword,Kingsroad,,
10,1,2,House Stark,CH161,Ned Stark,Lady,Knife,Kingsroad,,
11,1,4,House Arryn,CH077,"Gregor ""The Mountain"" Clegane",Ser Hugh of the Vale,Spear,King's Landing,,
12,1,5,House Clegane,CH077,"Gregor ""The Mountain"" Clegane",Clegane's horse,Sword,King's Landing,,
13,1,5,House Stark,CH253,Tribesman,Stark Soldier,Bolo,Eastern Road,,
14,1,5,None,CH031,Bronn,Tribesman,Sword,Eastern Road,,
15,1,5,None,CH031,Bronn,Tribesman,Sword,Eastern Road,,
16,1,5,None,CH031,Bronn,Tribesman,Sword,Eastern Road,,
17,1,5,House Stark,CH253,Tribesman,Stark Soldier,Mace,Eastern Road,,
18,1,5,None,CH256,Tyrion Lannister,Tribesman,Shield,Eastern Road,,
19,1,5,None,CH210,Rodrik Cassel,Tribesman,Sword,Eastern Road,,
20,1,5,None,CH210,Rodrik Cassel,Tribesman,Sword,Eastern Road,,
21,1,5,None,CH031,Bronn,Tribesman,Knife,Eastern Road,,
22,1,5,House Stark,CH122,Lannister soldier,Stark Soldier,Spear,King's Landing,,
23,1,5,House Stark,CH122,Lannister soldier,Stark Soldier,Spear,King's Landing,,
24,1,5,House Lannister,CH107,Jory Cassel,Lannister soldier,Sword,King's Landing,,
25,1,5,House Lannister,CH161,Ned Stark,Lannister soldier,Sword,King's Landing,,
26,1,5,House Lannister,CH107,Jory Cassel,Lannister soldier,Sword,King's Landing,,
27,1,5,House Lannister,CH107,Jory Cassel,Lannister soldier,Sword,King's Landing,,
28,1,5,House Stark,CH098,Jaime Lannister,Jory Cassel,Knife,King's Landing,,
29,1,6,Free Folk,CH207,Robb Stark,Wallen,Sword,Winterfell,,
30,1,6,Free Folk,CH207,Robb Stark,Wildling,Sword,Winterfell,,
31,1,6,Free Folk,CH247,Theon Greyjoy,Stiv,Arrow,Winterfell,,
32,1,6,House Arryn,CH031,Bronn,Vardis Egen,Sword,The Eyrie,,
33,1,6,House Targaryen,CH113,Khal Drogo,Viserys Targaryen,Molten gold,Vaes Dothrak,,
34,1,7,House Baratheon of King's Landing,CH025,Boar,Robert Baratheon,Tusk,King's Landing,,
35,1,7,House Stark,CH040,City watch guard,Stark Soldier,Sword,King's Landing,,
36,1,7,House Stark,CH040,City watch guard,Stark Soldier,Sword,King's Landing,,
37,1,7,House Stark,CH040,City watch guard,Stark Soldier,Sword,King's Landing,,
38,1,7,House Stark,CH215,"Sandor ""The Hound"" Clegane",Stark Soldier,Sword,King's Landing,,
39,1,8,House Stark,CH122,Lannister soldier,Stark Soldier,Sword,King's Landing,,
40,1,8,House Stark,CH122,Lannister soldier,Stark Soldier,Sword,King's Landing,,
41,1,8,House Stark,CH122,Lannister soldier,Vayon Poole,Sword,King's Landing,,
42,1,8,House Stark,CH122,Lannister soldier,Stark staff member,Sword,King's Landing,,
43,1,8,House Stark,CH122,Lannister soldier,Stark staff member,Sword,King's Landing,,
44,1,8,House Stark,CH122,Lannister soldier,Septa Mordane,Sword,King's Landing,,
45,1,8,House Stark,CH154,Meryn Trant,Syrio Forel,Sword,King's Landing,,
46,1,8,Smallfolk,CH008,Arya Stark,Stableboy,Sword,King's Landing,,
47,1,8,None,CH105,Jon Snow,Othor,Fire,Castle Black,,
48,1,8,None,CH164,Night's Watch brother,Jafer Flowers,Fire,Castle Black,,
49,1,8,Dothraki,CH113,Khal Drogo,Mago,Hands,Lhazar,,
50,1,9,Dothraki,CH155,Mirri Maz Duur,Drogo's horse,Knife,Red Waste,,
51,1,9,Dothraki,CH106,Jorah Mormont,Qotho,Sword,Red Waste,,
52,1,9,House Stark,CH087,Hill tribesman,Stark Soldier,Hammer,Not Available,,
53,1,9,House Stark,CH087,Hill tribesman,Stark Soldier,Sword,Not Available,,
54,1,9,None,CH008,Arya Stark,Pigeon,Hands,King's Landing,,
55,1,9,House Stark,CH094,Ilyn Payne,Ned Stark,Sword,King's Landing,,
56,1,10,Dothraki,CH155,Mirri Maz Duur,Rhaego,Magic,Red Waste,,
57,1,10,Dothraki,CH044,Daenerys Targaryen,Khal Drogo,Pillow,Red Waste,,
58,1,10,None,CH044,Daenerys Targaryen,Mirri Maz Duur,Fire,Lhazar,,
59,2,1,None,CH215,"Sandor ""The Hound"" Clegane",Knight,Mace,Not Available,,
60,2,1,House Targaryen,CH167,None,The Silver,Starvation,Red Waste,,
61,2,1,House Baratheon of Dragonstone,Not Found,Melisandre,Maester Cressen,Poison,Dragonstone,,
62,2,1,Smallfolk,CH099,Janos Slynt,Barra (Baratheon illegitimate son),Knife,King's Landing,,
63,2,1,Smallfolk,CH040,City watch guard,Robert Baratheon's illegitimate son,Knife,King's Landing,,
64,2,1,Smallfolk,CH040,City watch guard,Robert Baratheon's illegitimate son,Water,King's Landing,,
65,2,1,Smallfolk,CH040,City watch guard,Robert Baratheon's illegitimate son,Not Available,King's Landing,,
66,2,2,House Targaryen,CH206,Rival Dothraki,Rakharo,Not Available,Red Waste,,
67,2,3,House Lannister,CH287,Yoren,Lannister soldier,Sword,Riverlands,,
68,2,3,House Lannister,CH287,Yoren,Lannister soldier,Sword,Riverlands,,
69,2,3,House Lannister,CH287,Yoren,Lannister soldier,Sword,Riverlands,,
70,2,3,House Lannister,CH287,Yoren,Lannister soldier,Sword,Riverlands,,
71,2,3,House Lannister,CH287,Yoren,Lannister soldier,Sword,Riverlands,,
72,2,3,Night's Watch,CH005,Amory Lorch,Yoren,Sword,Riverlands,,
73,2,3,Night's Watch,CH122,Lannister soldier,Night's Watch recruit,Spear,Riverlands,,
74,2,3,Smallfolk,CH184,Polliver,Lommy Greenhands,Sword,Riverlands,,
75,2,4,House Lannister,CH079,Grey Wind,Rennick,Teeth,Oxcross,,
76,2,4,House Lannister,CH079,Grey Wind,Lannister soldier,Teeth,Oxcross,,
77,2,4,None,CH245,The Tickler,Prisoner,Rat,Harrenhal,,
78,2,5,House Baratheon of Storm's End,Not Found,Melisandre,Renly Baratheon,Shadow Demon,Storm's End,,
79,2,5,House Baratheon of Storm's End,CH030,Brienne of Tarth,Baratheon of Storm's End guard,Sword,Storm's End,,
80,2,5,House Baratheon of Storm's End,CH030,Brienne of Tarth,Baratheon of Storm's End guard,Sword,Storm's End,,
81,2,5,House Clegane,CH100,Jaqen H'ghar,The Tickler,Not Available,Harrenhal,,
82,2,6,House Stark,CH247,Theon Greyjoy,Rodrik Cassel,Sword,Winterfell,,
83,2,6,Free Folk,CH164,Night's Watch brother,Wildling,Arrow,Beyond the Wall,,
84,2,6,Free Folk,CH189,Qhorin Halfhand,Wildling,Sword,Beyond the Wall,,
85,2,6,Faith of the Seven,CH180,Peasants,High Septon,Hands,King's Landing,,
86,2,6,Smallfolk,CH215,"Sandor ""The Hound"" Clegane",Peasant,Sword,King's Landing,,
87,2,6,Smallfolk,CH215,"Sandor ""The Hound"" Clegane",Peasant,Sword,King's Landing,,
88,2,6,Smallfolk,CH215,"Sandor ""The Hound"" Clegane",Peasant,Knife,King's Landing,,
89,2,6,Smallfolk,CH215,"Sandor ""The Hound"" Clegane",Peasant,Knife,King's Landing,,
90,2,6,Smallfolk,CH215,"Sandor ""The Hound"" Clegane",Peasant,Knife,King's Landing,,
91,2,6,House Lannister,CH100,Jaqen H'ghar,Amory Lorch,Poison dart,Harrenhal,,
92,2,6,House Greyjoy,CH175,Osha,Drennan,Knife,Winterfell,,
93,2,6,House Targaryen,CH262,Not Available,Irri,Not Available,Qarth,,
94,2,7,House Lannister,CH098,Jaime Lannister,Alton Lannister,Hands,Robb Stark's camp,,
95,2,7,House Stark,CH098,Jaime Lannister,Torrhen Karstark,Hands,Robb Stark's camp,,
96,2,7,The Thirteen,CH187,Pyat Pree,The Spice King,Knife,Qarth,,
97,2,7,The Thirteen,CH187,Pyat Pree,The Silk King,Knife,Qarth,,
98,2,7,The Thirteen,CH187,Pyat Pree,The Copper King,Knife,Qarth,,
99,2,7,The Thirteen,CH187,Pyat Pree,Member of the Thirteen,Knife,Qarth,,
100,2,7,The Thirteen,CH187,Pyat Pree,Member of the Thirteen,Knife,Qarth,,
101,2,7,The Thirteen,CH187,Pyat Pree,Member of the Thirteen,Knife,Qarth,,
102,2,7,The Thirteen,CH187,Pyat Pree,Member of the Thirteen,Knife,Qarth,,
103,2,7,The Thirteen,CH187,Pyat Pree,Member of the Thirteen,Knife,Qarth,,
104,2,7,The Thirteen,CH187,Pyat Pree,Member of the Thirteen,Knife,Qarth,,
105,2,7,The Thirteen,CH187,Pyat Pree,Member of the Thirteen,Knife,Qarth,,
106,2,7,The Thirteen,CH187,Pyat Pree,Member of the Thirteen,Knife,Qarth,,
107,2,7,Smallfolk,CH247,Theon Greyjoy,Billy,Fire,Winterfell,,
108,2,7,Smallfolk,CH247,Theon Greyjoy,Jack,Fire,Winterfell,,
109,2,9,House Baratheon of Dragonstone,CH031,Bronn,Matthos Seaworth,Wildfire,King's Landing,,
110,2,9,House Baratheon of Dragonstone,CH031,Bronn,Baratheon of Dragonstone soldier,Wildfire,King's Landing,,
111,2,9,House Baratheon of Dragonstone,CH031,Bronn,Baratheon of Dragonstone soldier,Wildfire,King's Landing,,
112,2,9,House Baratheon of Dragonstone,CH031,Bronn,Baratheon of Dragonstone soldier,Wildfire,King's Landing,,
113,2,9,House Baratheon of Dragonstone,CH031,Bronn,Baratheon of Dragonstone soldier,Wildfire,King's Landing,,
114,2,9,House Baratheon of Dragonstone,CH031,Bronn,Baratheon of Dragonstone soldier,Wildfire,King's Landing,,
115,2,9,House Baratheon of Dragonstone,CH031,Bronn,Baratheon of Dragonstone soldier,Wildfire,King's Landing,,
116,2,9,House Baratheon of Dragonstone,CH031,Bronn,Baratheon of Dragonstone soldier,Wildfire,King's Landing,,
117,2,9,House Baratheon of Dragonstone,CH031,Bronn,Baratheon of Dragonstone soldier,Wildfire,King's Landing,,
118,2,9,House Baratheon of Dragonstone,CH031,Bronn,Baratheon of Dragonstone soldier,Wildfire,King's Landing,,
119,2,9,House Baratheon of Dragonstone,CH031,Bronn,Baratheon of Dragonstone soldier,Wildfire,King's Landing,,
120,2,9,House Baratheon of Dragonstone,CH001,Accident,Baratheon of Dragonstone soldier,Blunt object,King's Landing,,
121,2,9,House Baratheon of Dragonstone,CH031,Bronn,Baratheon of Dragonstone soldier,Wildfire,King's Landing,,
122,2,9,House Baratheon of Dragonstone,CH031,Bronn,Baratheon of Dragonstone soldier,Wildfire,King's Landing,,
123,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Flaming arrow,King's Landing,,
124,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Flaming arrow,King's Landing,,
125,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Flaming arrow,King's Landing,,
126,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Flaming arrow,King's Landing,,
127,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Flaming arrow,King's Landing,,
128,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Flaming arrow,King's Landing,,
129,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Flaming arrow,King's Landing,,
