Location_ID,Location,image URL,X Coordinate,Y Coordinate,Description
LOC001,Asshai,,5729,298.8,Enigmatic eastern port of dark magic.
LOC002,Asshai-by-the-Shadow,,5789,398.4,Home of shadowbinders like Melisandre.
LOC003,Astapor,,3389,1334.8,"Nestled along the Slaver’s Bay, Astapor is a city of red bricks and darker history. Its famed harbors once echoed with the cries of the chained—slaves bred for obedience and perfected into the Unsullied, an army unlike any other. Built in the shadow of Ghiscari traditions, Astapor stood proud yet rotted from within, its rulers—known as the Good Masters—glutted on cruelty and wealth. When Daenerys Stormborn arrived, dragon at her side and fire in her heart, the city was cast into chaos. The chains were shattered, the masters burned, and the Unsullied marched free. Yet liberty bore a steep price, and Astapor soon spiraled into anarchy, consumed by the very rage it once subdued.
"
LOC004,Battle of the Bastards field,,1161,3123.5,Battleground for a great battle.
LOC005,Beyond the Wall,,1191,3628.9,"A land of endless frost and ancient dread, Beyond the Wall is the last known wilderness of Westeros. Here, snowdrifts swallow the sky, and great white forests hold whispers of a forgotten age. Giants roam the icy valleys, mammoths thunder across the tundra, and the Free Folk—called Wildlings by those in the South—make homes from bone, stone, and fire. Yet colder terrors linger. In the deep dark, the White Walkers stir—creatures of ice and night, born before the histories of men. The Wall was built to guard against such nightmares, but even it could not stand forever. When the Night King rose, the dead marched, and the chill that came was older than death itself."
LOC006,Blackwater Bay,,1424,2102.5,Naval battles and key approach to the capital.
LOC007,Braavos,,1909,2653.4,"Braavos, the Secret City, stands proud amid the fog of the Shivering Sea, hidden by mountains and tides. It was born of rebellion—a haven for slaves who fled the Valyrian Freehold and vowed never to bow again. A city of canals and stone bridges, Braavos pulses with mystery and power. The Titan, a giant statue of cold iron, stands sentinel at its harbor, roaring a warning to any ship that dares enter. Within the city lie the famed Iron Bank, whose debts are honored more than kings, and the House of Black and White, where Faceless Men grant death as a gift. No banners fly above Braavos, for it serves no throne but its own."
LOC008,Casterly Rock,,717.1,2192,"Rising above the Sunset Sea, Casterly Rock is a fortress carved into a cliff of gold. It is the ancestral seat of House Lannister, whose wealth flows as deep as the veins of ore beneath their walls. Legend speaks of Lann the Clever, who tricked the Casterlys from their seat and claimed the Rock without bloodshed. Since then, the Lannisters have ruled with coin and cunning, commanding Westeros with both blade and banknote. The Rock itself is impenetrable, with twisting tunnels, treasure-filled halls, and towers built into the stone. During the War of the Five Kings, its gold propped up kingdoms, but even gold rusts when spilled on battlefields.
"
LOC009,Castle Black,,1286.8,3589,"Perched at the edge of the known world, Castle Black is the grim stronghold of the Night’s Watch. Built in the shadow of the Wall, it is a bastion of black stone and snow, a place where honor meets exile. Thieves, bastards, and broken men come here to find redemption or ruin. Its great elevator climbs the Wall’s dizzying height, offering a view of the cold horizon and the endless fear beyond. Here, Jon Snow rose to Lord Commander, and here, he died—then rose again. Castle Black saw the first spark of unity between the Watch and the Free Folk, as well as the first hammer of the dead’s return."
LOC010,Dorne,,1090,1526.3,"South of the Red Mountains, where the sun blazes and sands burn, lies Dorne—land of heat, passion, and pride. Ruled from Sunspear by House Martell, Dorne is unlike any other realm in Westeros. Its customs are fierce and free; its women rule and ride alongside men; its warriors wield curved spears and tempers both. Once conquered by dragons, Dorne resisted with fire of its own and was the last to bend the knee. Its history is steeped in blood and beauty—Elia Martell’s murder ignited the fire in Oberyn’s vengeance, and the Sand Snakes carry their father’s fury still. Dorne does not forget, and it never forgives."
LOC011,Dragonstone,,1545,2228.9,"Jagged and foreboding, Dragonstone juts from the Narrow Sea like a talon of black rock. Forged by Valyrians before their Doom, it is carved from obsidian and ancient magic. This was the first seat of House Targaryen in Westeros, a place of dragons and dark fire. Its stone hallways are etched with draconic reliefs, and its chamber hearths roar like wyrms. Stannis Baratheon claimed it during Robert’s Rebellion, lighting the fires of Melisandre’s shadowy faith. When Daenerys returned from exile, it was to Dragonstone she came, to reclaim the realm with fire and blood. The castle still whispers with the breath of sleeping dragons."
LOC012,Dreadfort,,1367.9,3236,"The Dreadfort is a place of pale stone and darker deeds, the ancestral home of House Bolton. Nestled in the chill of the North, its towers are high and its walls cruel. Long before the Starks united the North, the Boltons flayed their enemies alive, wearing their skins as cloaks. The banners were lowered in peace, but the knives never dulled. When Roose Bolton betrayed Robb Stark at the Red Wedding, he claimed the title Warden of the North—but it was his bastard, Ramsay, who truly ruled. The Dreadfort became a house of horrors, where hounds fed on men and screams echoed through frozen halls."
LOC013,Eastern Road,,1273.4,2405,"The Eastern Road winds from the Vale through mountain passes and perilous forests, linking the secluded Eyrie with the greater kingdoms. It is a path of travelers and traders, but also one of blood and broken wheels. Bandits and sellswords often stalk its bends, and the shadows of the Mountains of the Moon have swallowed more men than the Eyrie has sheltered. It was along this road that Tyrion Lannister first met Bronn, and where bonds of blood and gold were forged. Though not a place of stone and banners, the Eastern Road is as vital a part of Westeros’s weave as any keep or castle."
LOC014,Field of Fire,,974,2102.5,Legendary Targaryen conquest battle site.
LOC015,Gods Eye & Isle of Faces,,1201,2269.3,"Ancient and mysterious, tied to the Children of the Forest."
LOC016,Hardhome,,1424,3730,"Once a thriving Free Folk settlement, Hardhome now lies as a haunted memory on the desolate coast Beyond the Wall. Legends speak of its sudden and horrific fall. Fire and screams echoed across the sea as an ancient doom, now known to be the White Walkers and their undead legions, descended upon it. Thousands vanished overnight, and the few who fled brought only terror and tales of blue-eyed corpses. When Jon Snow sailed there to rescue the Wildlings, he witnessed the nightmare firsthand. Hardhome stands today as a ruin claimed by ice, a grim monument to the rising tide of death."
LOC017,Harrenhal,,1217.3,2309,"Harrenhal was once the grandest castle ever built in Westeros, a colossus of stone rising from the shores of the Gods Eye. Lord Harren Hoare dared build it to defy the world, but his pride was scorched from the skies. Aegon the Conqueror and his dragon Balerion turned the towers to ash on the very day of its completion, melting stone and flesh alike. Since then, Harrenhal has been cursed, passing from lord to doomed lord. Its halls echo with ruin, and the brave speak of ghosts in its charred bones. No house holds it long, for death walks freely within its blackened walls."
LOC018,Highgarden,,870.7,1790,"Highgarden is the jewel of the Reach, a sun-drenched citadel of roses and gold. Seat of House Tyrell, it lies along the Mander River, its blooming terraces and marble towers surrounded by orchards and vineyards. Known for its bounty, chivalry, and courtly splendor, Highgarden has long been a seat of culture and power. It was here that Lady Olenna, the Queen of Thorns, wielded her words like daggers, shaping alliances and fates. Though the Tyrells fell to Lannister fire and betrayal, the garden still blooms, its roots deep and its memory sweet with summer."
LOC019,Hollow Hill,,1282,2309.7,"Hidden in the riverlands' dense forests, Hollow Hill was the secret redoubt of the Brotherhood Without Banners. Beneath ancient oaks and through forgotten tunnels, the outlaws gathered not to plunder but to protect. There, Lord Beric Dondarrion was reborn again and again by the Lord of Light, his patchwork followers bound by a cause of justice in a lawless land. The hill is more than a hideout; it is a symbol of resistance, of broken oaths made whole again beneath the earth. In the war-torn realm, Hollow Hill became legend."
LOC020,Iron Islands,,696,2517,"Rising from the tempestuous Ironman's Bay, the Iron Islands are a scattered archipelago of jagged stone and storm-wracked cliffs. The people here are seafarers, raiders, and worshippers of the Drowned God. ""What is dead may never die,"" they say, for the Ironborn live hard and die harder. Pyke, the twisted seat of House Greyjoy, perches like a broken crown atop sea-carved rocks. The Old Way, long abandoned by the mainland, thrives here—steel over coin, salt over softness. Though often dismissed by the great houses, the Ironborn strike swift and vanish like mist, their oars beating war into the waves."
LOC021,King's Landing,,1302.9,2091,"The heart of the Seven Kingdoms, King’s Landing is a city of splendor and squalor, golden domes shadowed by reeking alleys. Built where Aegon the Conqueror first set foot on Westeros, it rose into the capital through fire and conquest. The Red Keep looms over the city like a crimson sentinel, its halls echoing with secrets, steel, and schemes. It was here kings rose and fell, where wildfire consumed a tyrant's reign, and where the Iron Throne sat as both prize and curse. A city of a million souls and a thousand knives, King’s Landing bleeds history."
LOC022,Kingsroad,,1292,2188.4,"The Kingsroad is the great spine of Westeros, stretching from Castle Black to the capital. It binds the realm, a ribbon of cobbled stone and worn earth winding through forests, fields, and fates. On this road rode kings and killers, knights and bastards, queens cloaked in mystery and rebels cloaked in blood. It was along this path that Eddard Stark journeyed south to his doom, and along which Arya Stark vanished into legend. The Kingsroad is no mere path—it is the story of a kingdom, told in footsteps."
LOC023,Last Hearth,,1311.7,3435,"Far in the North, just shy of the Wall, lies Last Hearth, the ancestral seat of House Umber. Its grey halls were built to withstand the snows and the savagery of winter, and its men are mountain-hearted and fierce. The Umbers were known for their loyalty to House Stark, though the winds of war bent even the proud. When the dead marched, Last Hearth fell quickly, its keep stained with frost and death. There, a child pinned to a wall, surrounded by limbs in a spiral, marked the White Walkers’ terrible message: winter had truly come."
LOC024,Lhazar,,3870,1561.7,"A land of peace among the blood-soaked lands of Slaver's Bay, Lhazar is a humble realm of shepherds and prayer. Its people, the Lhazareen, tend flocks and offer worship to the Great Shepherd, eschewing war and conquest. But peace is fragile. Khal Drogo’s khalasar razed their villages, taking what they wished and leaving ash. It was among these gentle people that Daenerys Targaryen's mercy was kindled and her dragons fed for the first time. Lhazar bleeds quietly, a pastoral song muffled by war drums."
LOC025,Lys,,1939,1455.5,Free City of Essos.
LOC026,Meereen,,3521,1612.2,"The greatest of the Slaver’s Bay cities, Meereen rises with pyramids and cruelty. Its streets are lined with the bones of slaves crucified as warnings, its masters robed in tradition and tyranny. When Daenerys conquered it, she brought change as sharp as any sword. She abolished chains and brought dragons into the sky, but also sowed discord among the powerful and the poor. The Sons of the Harpy rose in secret revolt, cloaked in gold and blood. Meereen became a crucible of rule and rebellion, its walls echoing with the cries of freedom and fire."
LOC027,Moat Cailin,,1116.1,2866,"Moat Cailin is a fortress of moss-covered ruins and murder, perched on the Neck like a gate of ancient teeth. Built by the First Men to defend the North, its crumbling towers remain nearly impassable. Any army seeking to march from the South must pass through its narrow causeways, where a handful can fell legions. Held by ironborn, taken by trickery, and reclaimed by the Starks, Moat Cailin is not merely a fortification—it is a line drawn in blood, a last breath before the North."
LOC028,Mole's Town,,1242,3507.6,"Nestled in the shadow of Castle Black, Mole’s Town is a crooked hamlet of brothels, ale, and whispers. Its tunnels dig beneath the frost, hiding secrets and sinners alike. Though small and squalid, it served as both release and refuge for brothers of the Watch and Wildlings alike. When the Night’s Watch fell into turmoil, and the dead rose beyond the Wall, Mole’s Town was swept away like kindling, its fire doused in icy shadow."
LOC029,Myr,,2045,1784.1,Free City of Essos.
LOC030,Norvos,,2258,2304.7,Free City of Essos.
