Death_No.,Season,Episode,Character_ID,Victim_House,Character_Name,Victim,Victim_URL,Method,Location,Location_ID
1,1,1,CH276,Night's Watch,White Walker,Waymar Royce,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Ice sword,Beyond the Wall,LOC005
2,1,1,CH276,Night's Watch,White Walker,Gared,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Gared.png,Ice sword,Beyond the Wall,LOC005
3,1,1,CH161,Night's Watch,Ned Stark,Will,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Sword,Winterfell,LOC064
4,1,1,CH047,None,Direwolf,Stag,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Stag.png,Teeth,Winterfell,LOC064
5,1,1,CH228,None,Stag,Direwolf,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Antler,Winterfell,LOC064
6,1,1,CH134,House of Arryn,Lysa Arryn,Jon Arryn,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Jon_Arryn.png,Poison,King's Landing,LOC021
7,1,1,CH055,Dothraki,Dothraki man,Dothraki man,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Dothraki_Man.png,Arakh,Pentos,LOC032
8,1,2,CH236,None,Summer,Catspaw assassin,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Cats_Paw_Assassin.png,Teeth,Winterfell,LOC064
9,1,2,CH215,Smallfolk,Sandor Clegane,Mycah,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Mycah.png,Sword,Kingsroad,LOC022
10,1,2,CH161,House Stark,Ned Stark,Lady,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lady.png,Knife,Kingsroad,LOC022
11,1,4,CH077,House of Arryn,Gregor Clegane,Ser Hugh of the Vale,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Ser_Hugh_of_the_Vale.png,Spear,King's Landing,LOC021
12,1,5,CH077,House Clegane,Gregor Clegane,Clegane's horse,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Horse.png,Sword,King's Landing,LOC021
13,1,5,CH253,House Stark,Tribesman,Stark Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Stark_Soldier.png,Bolo,Eastern Road,LOC013
14,1,5,CH031,None,Bronn,Tribesman,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Hill_Tribesman.png,Sword,Eastern Road,LOC013
15,1,5,CH031,None,Bronn,Tribesman,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Hill_Tribesman.png,Sword,Eastern Road,LOC013
16,1,5,CH031,None,Bronn,Tribesman,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Hill_Tribesman.png,Sword,Eastern Road,LOC013
17,1,5,CH253,House Stark,Tribesman,Stark Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Stark_Soldier.png,Mace,Eastern Road,LOC013
18,1,5,CH256,None,Tyrion Lannister,Tribesman,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Hill_Tribesman.png,Shield,Eastern Road,LOC013
19,1,5,CH210,None,Rodrik Cassel,Tribesman,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Hill_Tribesman.png,Sword,Eastern Road,LOC013
