Location,Location_ID,X_Coordinate,Y_Coordinate,Description,Location_URL
Asshai,LOC001,5729,298.8,"At the edge of the known world, where the rivers Ash and Rhoyne meet the Jade Sea, lies Asshai—a city of black stone and deeper secrets. No sun touches its streets, and no child’s laughter echoes within its walls. Cloaked figures barter in whispers, trading silver for sorcery. It is said shadows walk there, and even dragons shun its skies. In Asshai, power is ancient, and the darkness is never empty.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Asshai.png
Asshai-by-the-Shadow,LOC002,5789,398.4,"Asshai-by-the-Shadow broods at the mouth of the Shadowlands, where mountains bleed smoke and the air tastes of ash. Built of black stone that drinks the light, the city stretches wide but holds few souls. Its harbors welcome ships from every corner of the world, yet its streets remain hushed, haunted by shadowbinders and silent priests. Magic seeps from its stones, old and unclean. They say the Shadow itself leans closer here, and in Asshai-by-the-Shadow, even whispers can wound.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Assahi_by_Shadows.png
Astapor,LOC003,3389,1334.8,"Nestled along the Slaver’s Bay, Astapor is a city of red bricks and darker history. Its famed harbors once echoed with the cries of the chained—slaves bred for obedience and perfected into the Unsullied, an army unlike any other. Built in the shadow of Ghiscari traditions, Astapor stood proud yet rotted from within, its rulers—known as the Good Masters—glutted on cruelty and wealth. When Daenerys Stormborn arrived, dragon at her side and fire in her heart, the city was cast into chaos. The chains were shattered, the masters burned, and the Unsullied marched free. Yet liberty bore a steep price, and Astapor soon spiraled into anarchy, consumed by the very rage it once subdued.
",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Astapor.png
Battle of the Bastards field,LOC004,1161,3123.5,"The field of the Battle of the Bastards lies north of Winterfell, churned to mud by blood and broken shields. Once a snowy plain, it became a slaughterhouse of steel and fury, where House Stark rose from ruin against the cruelty of Ramsay Bolton. Arrows blackened the sky, and bodies piled high as walls. Jon Snow stood at its heart, unbowed amid the chaos, a ghost among the fallen. By battle’s end, the banners of the flayed man burned, and the North remembered the name Stark.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Battle_Bastards.png
Beyond the Wall,LOC005,1191,3628.9,"A land of endless frost and ancient dread, Beyond the Wall is the last known wilderness of Westeros. Here, snowdrifts swallow the sky, and great white forests hold whispers of a forgotten age. Giants roam the icy valleys, mammoths thunder across the tundra, and the Free Folk—called Wildlings by those in the South—make homes from bone, stone, and fire. Yet colder terrors linger. In the deep dark, the White Walkers stir—creatures of ice and night, born before the histories of men. The Wall was built to guard against such nightmares, but even it could not stand forever. When the Night King rose, the dead marched, and the chill that came was older than death itself.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Beyond_the_Wall.png
Blackwater Bay,LOC006,1424,2102.5,"Blackwater Bay glistens beneath the walls of King’s Landing, a deep inlet where trade and treachery flow side by side. Here, the fate of the realm was forged in wildfire, as Stannis Baratheon's fleet clashed with Lannister fire and fury. Green flame swallowed ships whole, lighting the night like a second sun. Tyrion Lannister, half a man, stood tall as Hand, turning the tide with chains and cunning. The smoke of that day still haunts the bay, where power is won not by birth, but by fire and blood.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Blackwater_Bay.png
Braavos,LOC007,1909,2653.4,"Braavos, the Secret City, stands proud amid the fog of the Shivering Sea, hidden by mountains and tides. It was born of rebellion—a haven for slaves who fled the Valyrian Freehold and vowed never to bow again. A city of canals and stone bridges, Braavos pulses with mystery and power. The Titan, a giant statue of cold iron, stands sentinel at its harbor, roaring a warning to any ship that dares enter. Within the city lie the famed Iron Bank, whose debts are honored more than kings, and the House of Black and White, where Faceless Men grant death as a gift. No banners fly above Braavos, for it serves no throne but its own.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Braavos.png
Casterly Rock,LOC008,717.1,2192,"Rising above the Sunset Sea, Casterly Rock is a fortress carved into a cliff of gold. It is the ancestral seat of House Lannister, whose wealth flows as deep as the veins of ore beneath their walls. Legend speaks of Lann the Clever, who tricked the Casterlys from their seat and claimed the Rock without bloodshed. Since then, the Lannisters have ruled with coin and cunning, commanding Westeros with both blade and banknote. The Rock itself is impenetrable, with twisting tunnels, treasure-filled halls, and towers built into the stone. During the War of the Five Kings, its gold propped up kingdoms, but even gold rusts when spilled on battlefields.
",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Casterly_Rock.png
Castle Black,LOC009,1286.8,3589,"Perched at the edge of the known world, Castle Black is the grim stronghold of the Night’s Watch. Built in the shadow of the Wall, it is a bastion of black stone and snow, a place where honor meets exile. Thieves, bastards, and broken men come here to find redemption or ruin. Its great elevator climbs the Wall’s dizzying height, offering a view of the cold horizon and the endless fear beyond. Here, Jon Snow rose to Lord Commander, and here, he died—then rose again. Castle Black saw the first spark of unity between the Watch and the Free Folk, as well as the first hammer of the dead’s return.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Castle_Black.png
Dorne,LOC010,1090,1526.3,"South of the Red Mountains, where the sun blazes and sands burn, lies Dorne—land of heat, passion, and pride. Ruled from Sunspear by House Martell, Dorne is unlike any other realm in Westeros. Its customs are fierce and free; its women rule and ride alongside men; its warriors wield curved spears and tempers both. Once conquered by dragons, Dorne resisted with fire of its own and was the last to bend the knee. Its history is steeped in blood and beauty—Elia Martell’s murder ignited the fire in Oberyn’s vengeance, and the Sand Snakes carry their father’s fury still. Dorne does not forget, and it never forgives.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Dorne.png
